"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"991.","THE PARKMEAD GROUP PLC","03914068","06100","30/06/2025","4053","9","99","PMG","Extraction of crude petroleum","GB00BGCYZL73","7540","9241","7473","-223","-668","","","","","","","-668","-2054","-91","","-1796","","-167","-2945","17008","28395","16","32464","29519","","","","","","","","","-1220","-378","-842","-1309","","-1309","","-2529","26990","19688","","","","7302","83625","","-79699","3376","n.a.","26990","-306","56","-2231","6726","","","","","-468","3777","n.s.","n.s."
"992.","THE PEBBLE GROUP PLC","12231361","64209","31/12/2024","125268","523","92","PEBB","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BK71XP16","8623","17145","8078","-22247","","","","","","","","","-7967","","","-5222","-524","-2221","-30214","29040","30872","14801","128420","98206","","","","","","","","","-5185","","-5185","-1645","-1645","","","-6830","91376","1648","","","","89728","78451","","114216","-102939","n.a.","91376","14929","459","-2655","-6762","","","-2005","","-3591","375","13.68665581","6.448574257"
"993.","THE PROPERTY FRANCHISE GROUP PLC","08721920","68310","31/12/2024","67310","365","85","TPFG","Real estate agencies","GB00BH0WFH67","15237","20368","14304","-2787","-3111","-3111","","","","","","","-17068","-3184","","-3449","-2580","-7855","-22966","-8180","-2336","1806","203984","181018","-10111","","","","","","","-10111","-4476","","-4476","-22336","-22058","-278","","-36923","144095","638","","","","143520","4129","","24643","114748","-63","144095","-15313","1336","-3257","16023","","","-9012","","6744","-3479","30.259991086","21.25092854"
"994.","THE RANK GROUP PLC","03140769","70100","30/06/2025","795400","7776","95","RNK","Activities of head offices","GB00B1L5QH97","67000","134800","53900","-18700","-200","","","","","","","-200","-177000","-3100","","-67200","-36500","-70200","-195900","-101800","45500","-16600","789500","593600","-30000","","","","","","","-30000","-139900","","-139900","-41600","-3500","-38100","-3400","-214900","378700","65000","","","","313700","155700","","110700","47300","n.a.","378700","119000","-3000","9900","-54700","","","-7000","","-51200","13000","16.947447825","6.776464672"
"995.","THE RENEWABLES INFRASTRUCTURE GROUP LTD","GG56716","64301","31/12/2024","-158400","5","n.a.","TRIG","Activities of investment trusts","GG00BBHX2H91","-161100","-161100","-115200","","","","","","","","","","-1100","","","","","-1100","-1100","29200","2856500","","2857600","2856500","","","","","","","","","-200","","-200","","","","","-200","2856300","2752700","","","","103600","","","102600","1000","n.a.","2856300","178000","-45900","","64500","","","-183500","","-18900","-5800","n.s.","n.s."
"996.","THE REVEL COLLECTIVE PLC","08838504","47250","29/06/2024","149544","3094","27","TRC","Retail sale of beverages in specialised stores","GB00BVDPPV41","-28369","17236","-36723","-13000","","","","","","","","","-25734","","","-10740","-6840","-8154","-38734","-22506","704","-7423","91359","52625","-28900","","","","","","","-28900","-103902","","-103902","-1953","","-1953","","-134755","-82130","230","","","","-82360","33794","","-127799","11645","n.a.","-82130","3125","1206","122","-2819","","","","","-466","1168","11.525704809","-24.556652223"
"997.","THE SCOTTISH AMERICAN INVESTMENT COMPANY P L C","SC000489","64301","31/12/2024","32387","5","89","SAIN","Activities of investment trusts","GB0007873697","29947","29947","29236","","","","","","","","","","-3652","","","","","-3652","-3652","3640","1047435","","1051087","1047435","-94742","","","","","","","-94742","","","","","","","","-94742","952693","44579","","","","908114","186100","","16820","705194","n.a.","952693","23513","","-2398","","8493","","-25834","","-8270","-4496","","90.270787662"
"998.","THE SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC","SC156108","64301","31/08/2024","12382","","95","SST","Activities of investment trusts","GB0007836132","11605","11605","8048","","","","","","","","","","-8948","","","-368","","-8580","-8948","31858","441616","","450564","441616","-29842","","","","","","","-29842","","","","-8706","-8706","","","-38548","403068","7853","7853","","","395215","34259","","11253","349703","n.a.","403068","-5751","11790","-1396","29162","","","-3138","","-10427","20240","","64.997577128"
"999.","THE UNITE GROUP PLC","03199160","64209","31/12/2024","299300","1908","99","UTG","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB0006928617","343100","348800","444000","-81800","","","","","","","","","-186000","-1200","","-78400","","-106400","-267800","264700","6137000","-30700","6419900","6152100","-1273800","","","","","","","-1273800","-66800","","-66800","","","","","-1340600","4811500","122200","","","","4689300","2876900","","1770800","41600","n.a.","4811500","197900","20200","-6600","-472300","","","-124200","","621800","236800","n.s.","n.s."
"1000.","THERACRYF PLC","09246681","72110","31/03/2025","","9","57","TCF","Research and experimental development on biotechnology","GB00BSVYN304","-2124","-2054","-2085","-106","","","","","","","","","-1556","","","-132","-21","-1403","-1662","3508","3508","281","7630","5968","","","","","","","","","","","","","","","","n.a.","5968","5324","","","","644","28695","","-30432","2381","n.a.","5968","-2392","","30","-2080","","","","","4547","105","",""
"1001.","THEWORKS.CO.UK PLC","11325534","47910","04/05/2025","277039","3697","92","WRKS","Retail sale via mail order houses or via Internet","GB00BF5HBF20","13098","27901","8343","-20003","","","","","","","","","-34171","","","-8586","-4262","-21323","-54174","-7319","8778","17008","126950","72776","","","","","","","","","-56284","","-56284","-650","","-650","","-56934","15842","625","","","","15217","28322","","-13203","98","n.a.","15842","29023","4211","-301","-5034","","","","","-24955","2944","10.071145218","3.011489357"
"1002.","THG PLC","06539496","47990","31/12/2024","1751404","7127","81","THG","Other retail sale not in stores, stalls or markets","GB00BMTV7393","-147895","128980","-202400","-261685","-112785","","","","","","","-112785","-1231089","-3568","","-69007","-27485","-1131029","-1605559","-121198","-47646","37142","2545562","940003","-491782","","","","","","","-491782","-66782","","-66782","-75612","-63701","-11911","","-634176","305827","8219","","","","297608","2117148","","-1845779","26239","n.a.","305827","28170","33150","-621","-101303","","","","","22043","-18561","7.36437738","-11.556442717"
"1003.","THOR ENERGY PLC","05276414","08990","30/06/2025","","8","27","THR","Other mining and quarrying n.e.c.","GB00BRJ52319","-5993","-5967","-7441","-28","","","","","","","","","-180","","","","","-180","-208","528","739","-28","9435","9227","","","","","","","","","","","","","","","","0","9227","4615","","","","4580","32457","","-29163","1286","32","9227","-900","-1","","-86","","","","","918","-69","",""
"1004.","THRUVISION GROUP PLC","07149547","62090","31/03/2025","4163","39","55","THRU","Other information technology and computer service activities","GB00B627R876","-4716","-4135","-4697","-1260","","","","","","","","","-998","","","-542","-173","-283","-2258","4863","5521","5249","8456","6198","","","","","","","","","-532","","-532","-110","","-110","","-642","5556","1736","","","","3820","4497","","-853","176","n.a.","5556","-4352","19","15","-548","","","","","1115","-3751","-99.327408119","n.s."
"1005.","TIALIS ESSENTIAL IT PLC","SC368538","63990","31/12/2024","20842","283","81","IDE","Other information service activities n.e.c.","GB00B4NJ4984","-2899","-231","-3338","-2043","-325","","","","-325","","-325","","-2819","","","-589","-1179","-1051","-5187","-16","4281","1625","14285","9098","-4686","","","-351","","-351","","-4335","","","","-352","","-352","","-5038","4060","12611","","","","-8551","52957","","-62149","641","n.a.","4060","1889","1289","","-28","","","","","-2570","580","-1.108338931","-16.015737453"
"1006.","TIME FINANCE PLC","05845866","","31/05/2025","37094","157","99","TIME","","GB00BCDBXK43","7851","8376","7856","-72330","-294","","","","","","","-294","-12437","","","","-1298","-11139","-85061","36431","116751","35452","230341","145280","","","","","","","","","-73510","","-73510","","","","","-73510","71770","9252","","","","62518","25543","","37725","-750","n.a.","71770","7538","-1","-2090","-543","","","","","-1524","3380","22.580471235","21.178627271"
"1007.","TIME OUT GROUP PLC","07440171","70210","30/06/2024","103112","496","89","TMO","Public relations and communication activities","GB00BYYV0629","-6","9486","-8549","-5194","-7675","-1050","","","","","","-6625","-24167","-1894","","-11468","-592","-10213","-37036","-11067","28464","5449","117618","80582","-31207","","","","","","","-31207","-20435","","-20435","-140","-140","","","-51782","28800","340","","","","28507","186568","","-165242","7181","-47","28800","4014","6841","-1120","-10647","","","","","1800","888","9.199705175","-8.29098456"
"1008.","TIRUPATI GRAPHITE PLC","10742540","07290","31/03/2024","4903.856","523","30","TGR","Mining of other non-ferrous metal ores","GB00BFYMWJ95","-5075.026","-5048.769","63.958","-2098.538","-1112.83","","","","","","","-1112.83","-1362.166","","","-639.773","-19.392","-703.001","-4573.534","2203.166","21216.574","-553.481","29358.726","24785.192","-1888.666","","","-26.166","","-26.166","","-1862.5","","","","","","","","-1888.666","22896.526","3107.482","","","","19789.044","28819.456","","-8122.731","-907.681","n.a.","22896.526","-1369.237","-198.06","","-652.769","","","","","2089.376","-130.69","n.s.","1.30423895"
"1009.","TITON HOLDINGS PLC","01604952","64209","30/09/2024","15476","164","81","TON","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB0008941402","-2412","-1510","-2431","-1446","","","","","","","","","-1601","","","-645","-450","-506","-3047","6504","10010","4187","14284","11237","","","","","","","","","-329","","-329","","","","","-329","10908","1125","","","","9810","1106","","8540","164","-27","10908","583","","","-279","","","-56","","-165","83","-9.757043164","-15.708193332"
"1010.","TOMCO ENERGY PLC","IM006969V","06100","30/09/2023","","6","n.a.","TOM","Extraction of crude petroleum","IM00BZBXMN96","-1582","-1582","-2346","-40","-445","","","","","","","-445","-83","","","-67","","-16","-568","-472","1205","-40","6476","5908","","","","","","","","","","","","","","","","n.a.","5908","","","","","5908","34886","","-29143","165","n.a.","5908","-1940","677","","-202","","","","","1321","-144","",""
"1011.","TOORU PLC","00269566","82990","31/12/2024","203.031","4","29","TOO","Other business support service activities n.e.c.","GB00BKKD0862","-1046.05","-1046.05","-1046.05","-157.118","","","","","","","","","-62.107","","","-62.107","","","-219.225","2326.894","4199.146","-157.118","4418.371","4199.146","","","","","","","","","","","","","","","","n.a.","4199.146","77.54","","","","4121.606","1568.353","","2352.219","201.034","n.a.","4199.146","-465.717","","","1761.797","","","","","","1296.08","","n.s."
"1012.","TOPPS TILES PLC","03213782","46730","28/09/2024","251756","1674","86","TPT","Wholesale of wood, construction materials and sanitary equipment","GB00B18P5K83","-11417","30947","-16232","-30882","","","","","","","","","-42257","","","-14777","","-27480","-73139","2968","26410","14584","167400","94261","-14996","","","","","","","-14996","-71381","","-71381","-2299","","-2299","","-88676","5585","6556","","","","-971","2636","","-29909","26302","n.a.","5585","29468","83","-5726","-13003","","","-8188","","-2320","314","12.292457777","-6.447512671"
"1013.","TORM PLC","09818726","50200","31/12/2024","1245267.95","607","95","TRMD.A","Sea and coastal freight water transport","GB00BZ3CNK81","526156.057","679418.575","486782.206","-39932.913","-132018.209","","","","","","","-132018.209","-55985.942","-559.06","","","","-55426.882","-227937.066","263477.357","2540132.577","161568.564","2771024.678","2543087.612","-847376.407","","","","","","","-847376.407","-38415.46","","-38415.46","-239.597","-239.597","","","-886031.466","1657056.146","798.657","","","","1655618.56","216436.387","","1175225.621","263956.552","638.927","1657695.072","714799.137","-53430.237","-1038.255","-353086.813","","","-441897.611","","139765.194","5111.413","54.560030634","39.090559265"
"1014.","TORTILLA MEXICAN GRILL PLC","13511888","56101","29/12/2024","67999.489","1188","81","MEX","Licensed restaurants","GB00BNYDGZ21","-1186.504","9009.1","-3316.969","-4664.955","","","","","","","","","-14576.467","","","-3787.896","-2192.159","-8596.412","-19241.422","-12633.236","2536.567","-3373.646","58279.076","39037.654","-8433.523","","","","","","","-8433.523","-30489.693","","-30489.693","-600.419","-600.419","","","-39523.635","-485.981","386.64","","","","-872.621","4433.25","","-10893.626","5587.755","n.a.","-485.981","7803.335","1735.062","580.647","-6349.444","","","","","-2653.314","1116.286","13.248776031","-4.877932244"
"1015.","TOTALLY PLC","03870101","86900","31/03/2024","106678","1358","n.a.","TLY","Other human health activities","GB00BYM1JJ00","-3478","1396","-3865","-6714","-2500","","","","","","","-2500","-17925","","","-9564","-2757","-5604","-27139","-13598","-11924","-297","63332","36193","","","","","","","","","-1903","-12","-1891","-560","-560","","","-2463","33730","19655","","","","14075","1945","","12130","","n.a.","33730","-1051","169","","-1932","","","-246","","-1050","-4110","1.30861096","-3.623052551"
"1016.","TOUCHSTAR PLC","SC005543","70100","31/12/2024","6893","54","99","TST","Activities of head offices","GB00BD9YDB55","322","1099","388","-2638","","","","","","","","","-854","","","-225","-480","-149","-3492","2155","2360","-239","7320","3828","","","","","","","","","-222","","-222","-170","-170","","","-392","3436","424","","","","3012","","","3118","-106","n.a.","3436","1040","66","","-773","","","-246","","-174","-87","15.943711011","5.628898883"
"1017.","TOWER RESOURCES PLC","05305345","82990","31/12/2024","","6","29","TRP","Other business support service activities n.e.c.","GB00BZ6D6J81","-783.053","-783.053","-785.577","-270.749","-10.066","","","","","","","-10.066","-685.242","","","-685.242","","","-966.057","-726.686","-726.686","-270.749","29478.537","28512.48","-4.176","","","","","","","-4.176","","","","","","","","-4.176","28508.304","14802.397","","","","13705.908","126823.266","","-113117.358","","n.a.","28508.304","53.333","-2.8","","-1469.081","","","","","1628.983","210.434","",""
"1018.","TOWN CENTRE SECURITIES PLC","00623364","68209","30/06/2025","32692","155","92","TOWN","Letting and operating of own or leased real estate (other than Housing Association real estate and conference and exhibition services) n.e.c.","GB0003062816","6340","6512","-1065","-1442","-30995","-29473","","","-1522","","-1522","","-9787","","","","-511","-9276","-42224","-20432","236777","229","281431","239207","-126905","","","-27970","","-27970","","-98935","","","","","","","","-126905","112302","10540","","","","101762","200","4248","94005","3309","n.a.","112302","9471","-6168","-59","-1925","","","-1054","","-2043","-1778","19.919246299","-3.257677719"
"1019.","TPXIMPACT HOLDINGS PLC","10533096","62020","31/03/2025","77340","491","47","TPX","Computer consultancy activities","GB00BGGK0V60","-8720","2119","-10039","-5138","","","","","","","","","-6642","","","","-2885","-3757","-11780","6884","9399","7205","66886","55106","-13145","","","","","","","-13145","-444","","-444","-2187","-2187","","","-15776","39330","922","","","","38408","6538","","-13008","44878","n.a.","39330","-324","304","437","","","","","","-4704","-4287","2.739850013","-12.980346522"
